"","Vaccine.Exemption","Dose","Geography.Type","Geography","School.Year","Estimate....","Population.Size","Percent.Surveyed","Footnotes","Number.of.Exemptions","Survey.Type"
"4972","Polio","","States","Rhode Island","2009-10","90.1","11818","11.6","NULL","NULL","Random sample"
"4973","Polio","","States","Delaware","2009-10","89.4","11327","9.2","NULL","NULL","Random sample"
"4974","Polio","","States","Ohio","2009-10","88.3","131137","100","*","NULL","Census"
"4975","Polio","","States","South Carolina","2009-10","87.7","53725","10.2","NULL","NULL","Random sample"
"4976","Polio","","States","Iowa","2009-10","84.5","42698","100","≥","NULL","Census"
"4977","Polio","","States","New Jersey","2009-10",NA,"118347","95.1","NULL","NULL","Census"
"4978","Polio","","States","North Carolina","2009-10",NA,"116087","96","NULL","NULL","Census"
"4979","Polio","","States","New Hampshire","2009-10",NA,"NULL","NULL","NULL","NULL","Not conducted"
"4980","Polio","","States","Wyoming","2009-10",NA,"NULL","NULL","NULL","NULL","Not conducted"
"4981","Polio","","States","Hawaii","2009-10",NA,"18427","6.4","NULL","NULL","Random sample"
"4982","Polio","","States","District of Columbia","2009-10",NA,"6092","100","*","NULL","Census"
"4983","Polio","","States","Colorado","2009-10",NA,"NULL","NULL","NULL","NULL","Not conducted"
"4984","Polio","","States","Alaska","2009-10",NA,"9641","76.4","NULL","NULL","Voluntary response"
"4985","Exemption","Any Exemption","States","Rhode Island","2011-12","1","12552","NULL","†","17","2-stage Cluster Sample"
"4986","Exemption","Any Exemption","States","Virginia","2011-12","1","101121","NULL","†","76","2-stage Cluster Sample"
"4987","Exemption","Any Exemption","States","North Dakota","2011-12","1","8412","NULL","NULL","5","Convenient"
"4988","Exemption","Any Exemption","States","Maryland","2011-12","0.9","72957","NULL","†","454","Voluntary Response"
"4989","Exemption","Any Exemption","States","Arkansas","2011-12","0.9","38754","NULL","NULL","391","Census"
"4990","Exemption","Any Exemption","States","North Carolina","2011-12","0.8","128854","NULL","†","1003","Census"
"4991","Exemption","Any Exemption","States","Louisiana","2011-12","0.8","69013","NULL","NULL","550","Census"
"4992","Exemption","Any Exemption","States","Tennessee","2011-12","0.7","83950","NULL","†","570","Census"
"4993","Exemption","Any Exemption","States","New York","2011-12","0.7","236016","NULL","†","1614","Census"
"4994","Exemption","Any Exemption","States","Alabama","2011-12","0.6","73190","NULL","†. ¶","465","Census"
"4995","Exemption","Any Exemption","States","Delaware","2011-12","0.6","11327","NULL","†","7","2-stage Cluster Sample"
"4996","Exemption","Any Exemption","States","Kentucky","2011-12","0.6","58185","NULL","†","318","Census"
"4997","Exemption","Any Exemption","States","West Virginia","2011-12","0.2","22449","NULL","‡. †","44","Convenient"
"4998","Exemption","Any Exemption","States","Mississippi","2011-12","0.1","44912","NULL","<. ‡. †","16","Census"
"4999","Exemption","Any Exemption","States","Wyoming","2011-12",NA,"NULL","NULL","NULL","NULL","Not conducted"
"5000","Exemption","Any Exemption","States","Indiana","2013-14","1.2","87193","NULL","†","1075","Voluntary response"
"5001","Exemption","Any Exemption","States","Arkansas","2013-14","1.2","42649","NULL","NULL","493","Census"
"5002","Exemption","Any Exemption","States","Illinois","2013-14","1.3","163316","NULL","§","2123","Census"
"5003","Exemption","Any Exemption","States","South Carolina","2013-14","1.4","61661","NULL","†. *","855","1-stage stratified sample"
