"","Vaccine.Exemption","Dose","Geography.Type","Geography","School.Year","Estimate....","Population.Size","Percent.Surveyed","Footnotes","Number.of.Exemptions","Survey.Type"
"378","Varicella","2 Doses (or disease history)","States","New Mexico","2014-15","97.2","29918","3.3","†","NULL","Stratified 2-stage cluster sample"
"379","Varicella","2 Doses (or disease history)","States","Delaware","2014-15","97.7","11476","7.9","NULL","NULL","Stratified 2-stage cluster sample"
"380","Varicella","2 Doses (or disease history)","States","Maryland","2014-15","98.8","75391","90.2","‡","NULL","Census (public); Voluntary response (private)"
"381","Varicella","2 Doses (or disease history)","States","Mississippi","2014-15","99.2","44129","100","≥. *","NULL","Census"
"382","Varicella","2 Doses (or disease history)","States","Maine","2014-15","NReq","13704","88.9","‡","NULL","Voluntary response (public); Census (private)"
"383","Varicella","2 Doses (or disease history)","States","Hawaii","2014-15","NReq","20085","5.6","NULL","NULL","Stratified 2-stage cluster sample"
"384","Varicella","2 Doses (or disease history)","States","Alaska","2014-15","91.6","10129","7.8","†","NULL","Stratified 2-stage cluster sample"
"385","Varicella","2 Doses (or disease history)","States","Iowa","2014-15","91.9","43239","96.3","≥","NULL","Census"
"386","Varicella","2 Doses (or disease history)","States","Pennsylvania","2014-15","92","146378","98.3","‡","NULL","Census"
"387","Varicella","2 Doses (or disease history)","States","Kentucky","2014-15","92.3","57884","97.2","‡","NULL","Census"
"388","Varicella","2 Doses (or disease history)","States","Minnesota","2014-15","92.7","70896","97.8","NULL","NULL","Census"
"389","Varicella","2 Doses (or disease history)","States","Nevada","2014-15","92.9","36755","2.8","NULL","NULL","Stratified 2-stage cluster sample"
"390","Varicella","2 Doses (or disease history)","States","Georgia","2015-16","94.6","131403","100","≥.*","NULL","Census"
"391","Varicella","2 Doses (or disease history)","States","New York","2015-16","94.8","232521","100","*","NULL","Census"
"392","Varicella","2 Doses (or disease history)","States","Utah","2015-16","94.8","50114","100","*","NULL","Census"
"393","Varicella","2 Doses (or disease history)","States","Michigan","2015-16","95.2","116299","100","*","NULL","Census"
"394","Varicella","2 Doses (or disease history)","States","South Dakota","2015-16","95.2","12181","100","*","NULL","Census"
"395","Varicella","2 Doses (or disease history)","States","Missouri","2015-16","95.4","74413","100","*.§","NULL","Census"
"396","Varicella","2 Doses (or disease history)","States","Illinois","2015-16","95.5","151309","100","*","NULL","Census"
"397","Varicella","2 Doses (or disease history)","States","New Mexico","2015-16","95.8","29049","2.7","†","NULL","Stratified 2-stage cluster sample"
"398","Varicella","2 Doses (or disease history)","States","Massachusetts","2015-16","95.8","72897","100","*.‡","NULL","Census"
"399","Varicella","2 Doses (or disease history)","States","Rhode Island","2015-16","96","11165","100","*.‡.§","NULL","Census"
"400","Varicella","2 Doses (or disease history)","States","South Carolina","2015-16","96.2","59240","8.9","NULL","NULL","Stratified 1-stage cluster sample"
"401","Varicella","2 Doses (or disease history)","States","Pennsylvania","2015-16","96.5","143298","93.2","NULL","NULL","Census (public); Voluntary response (private)"
"402","Varicella","2 Doses (or disease history)","States","Wyoming","2015-16","96.5","7825","74","§.¶","NULL","Voluntary response"
"403","Varicella","2 Doses (or disease history)","States","Connecticut","2015-16","96.6","39533","100","*","NULL","Census"
"404","Varicella","2 Doses (or disease history)","States","Delaware","2018-19","97.6","10798","9.5","NULL","NULL","Stratified 2-stage cluster sample"
"405","Varicella","2 Doses (or disease history)","States","Maryland","2018-19","97.1","71431","100","‡","NULL","Census"
"406","Varicella","2 Doses (or disease history)","States","Rhode Island","2018-19","97","10964","100","*.‡.§","NULL","Census"
"407","Varicella","2 Doses (or disease history)","States","New York","2018-19","96.7","220495","100","*","NULL","Census"
"408","Varicella","2 Doses (or disease history)","States","Texas","2018-19","96.5","390034","99.4","‡.§","NULL","Census"
"409","Varicella","2 Doses (or disease history)","States","Massachusetts","2018-19","96.5","65279","100","*.‡","NULL","Census"
"410","Varicella","2 Doses (or disease history)","States","Nebraska","2018-19","96.3","26925","98.6","‡.‡‡","NULL","Census"
"411","Varicella","2 Doses (or disease history)","States","Maryland","2015-16","99.2","72012","94.3","‡","NULL","Census (public); Voluntary response (private)"
"412","Varicella","2 Doses (or disease history)","States","Mississippi","2015-16","99.4","41042","100","≥.*","NULL","Census"
"413","Varicella","2 Doses (or disease history)","States","Alabama","2015-16","NReq","60392","100","≥.*","NULL","Census"
"414","Varicella","2 Doses (or disease history)","States","New Jersey","2015-16","NReq","110116","100","≥.*","NULL","Census"
"415","Varicella","2 Doses (or disease history)","States","Oklahoma","2015-16","NReq","54335","96.1","‡","NULL","Census"
"416","Varicella","2 Doses (or disease history)","States","Oregon","2015-16","NReq","45531","100","*.‡","NULL","Census"
"417","Varicella","2 Doses (or disease history)","States","Arizona","2015-16","NReq","83088","100","*","NULL","Census"
"418","Varicella","2 Doses (or disease history)","States","California","2015-16","NReq","593788","92.8","‡","NULL","Census"
"419","Varicella","2 Doses (or disease history)","States","Hawaii","2015-16","NReq","16325","6.7","NULL","NULL","Stratified 2-stage cluster sample"
"420","Varicella","2 Doses (or disease history)","States","Maine","2015-16","NReq","13526","90.5","NULL","NULL","Census"
"421","Varicella","2 Doses (or disease history)","States","Colorado","2015-16","85.7","69137","0.5","NULL","NULL","Simple random sample"
"422","Varicella","2 Doses (or disease history)","States","Kansas","2015-16","87.9","39555","21","†.‡.§","NULL","Stratified 2-stage cluster sample"
"423","Varicella","2 Doses (or disease history)","States","Indiana","2015-16","88","83525","69.5","NULL","NULL","Voluntary response"
"424","Varicella","2 Doses (or disease history)","States","District of Columbia","2015-16","88.1","8080","100","*","NULL","Census"
"425","Varicella","2 Doses (or disease history)","States","Idaho","2015-16","89.1","22686","100","*","NULL","Census"
"426","Varicella","2 Doses (or disease history)","States","Washington","2015-16","89.4","86492","97.3","§","NULL","Census"
"427","Varicella","2 Doses (or disease history)","States","North Dakota","2015-16","90.4","9875","97.1","NULL","NULL","Census"
"428","Varicella","2 Doses (or disease history)","States","Connecticut","2016-17","96.5","39002","100","*","NULL","Census"
"429","Varicella","2 Doses (or disease history)","States","North Carolina","2016-17","95.9","126454","88.2","‡.§","NULL","Voluntary response"
"430","Varicella","2 Doses (or disease history)","States","Nebraska","2016-17","95.8","27117","100","*.‡.‡‡","NULL","Census"
"431","Varicella","2 Doses (or disease history)","States","South Carolina","2016-17","95.7","59177","8.9","NULL","NULL","Stratified 1-stage cluster sample"
"432","Varicella","2 Doses (or disease history)","States","Massachusetts","2016-17","95.7","70109","100","*.‡","NULL","Census"
"433","Varicella","2 Doses (or disease history)","States","South Dakota","2016-17","95.4","12106","99.8","NULL","NULL","Census"
"434","Varicella","2 Doses (or disease history)","States","Michigan","2016-17","95.3","118777","100","*","NULL","Census"
"435","Varicella","2 Doses (or disease history)","States","Missouri","2016-17","95.1","73355","100","*","NULL","Census"
"436","Varicella","2 Doses (or disease history)","States","Rhode Island","2016-17","94.8","11100","98.4","‡.§","NULL","Census"
"437","Varicella","2 Doses (or disease history)","States","Utah","2016-17","94.6","49073","100","*","NULL","Census"
"438","Varicella","2 Doses (or disease history)","States","New Mexico","2016-17","94.6","27119","4.5","NULL","NULL","Stratified 2-stage cluster sample"
"439","Varicella","2 Doses (or disease history)","States","Pennsylvania","2016-17","94.6","143888","84.4","NULL","NULL","Voluntary response"
"440","Varicella","2 Doses (or disease history)","States","Illinois","2016-17","94.5","151309","97.7","NULL","NULL","Census"
"441","Varicella","2 Doses (or disease history)","States","Florida","2016-17","94.1","224463","100","≥.*.§","NULL","Census"
"442","Varicella","2 Doses (or disease history)","States","North Dakota","2016-17","93.5","9799","98.7","NULL","NULL","Census"
"443","Varicella","2 Doses (or disease history)","States","Georgia","2016-17","93.3","136165","100","≥.*","NULL","Census"
"444","Varicella","2 Doses (or disease history)","States","Montana","2016-17","92.9","11956","100","*","NULL","Census"
"445","Varicella","2 Doses (or disease history)","States","New Mexico","2017-18","94.5","26896","99.6","NULL","NULL","Stratified 2-stage cluster sample"
"446","Varicella","2 Doses (or disease history)","States","Michigan","2017-18","94.7","119028","100","*","NULL","Census"
"447","Varicella","2 Doses (or disease history)","States","Illinois","2017-18","94.8","144858","100","*","NULL","Census"
"448","Varicella","2 Doses (or disease history)","States","Missouri","2017-18","95","73113","100","*","NULL","Census"
"449","Varicella","2 Doses (or disease history)","States","Nebraska","2017-18","95.5","26313","98.6","‡.‡‡","NULL","Census"
"450","Varicella","2 Doses (or disease history)","States","Louisiana","2017-18","95.6","58277","100","*","NULL","Census"
"451","Varicella","2 Doses (or disease history)","States","South Dakota","2017-18","95.8","12125","99.9","NULL","NULL","Census"
"452","Varicella","2 Doses (or disease history)","States","Ohio","2016-17","91.9","137542","95.5","NULL","NULL","Census"
"453","Varicella","2 Doses (or disease history)","States","Arkansas","2016-17","91.7","39666","75.9","‡","NULL","Voluntary response"
"454","Varicella","2 Doses (or disease history)","States","New Hampshire","2016-17","91.5","12145","100","≥.*","NULL","Census"
"455","Varicella","2 Doses (or disease history)","States","Nevada","2016-17","90.5","36885","3.7","NULL","NULL","Stratified 2-stage cluster sample"
"456","Varicella","2 Doses (or disease history)","States","Kentucky","2016-17","90.4","51487","92.9","‡.§","NULL","Census"
"457","Varicella","2 Doses (or disease history)","States","Washington","2016-17","89.3","87142","98.2","§","NULL","Census"
"458","Varicella","2 Doses (or disease history)","States","Idaho","2016-17","89.1","22589","100","*","NULL","Census"
"459","Varicella","2 Doses (or disease history)","States","Alaska","2016-17","88.9","9815","7.6","†.§","NULL","Stratified 2-stage cluster sample"
"460","Varicella","2 Doses (or disease history)","States","Kansas","2016-17","88.8","38298","22.9","†.‡.§","NULL","Stratified 2-stage cluster sample"
"461","Varicella","2 Doses (or disease history)","States","Indiana","2016-17","87.9","83263","80.3","NULL","NULL","Voluntary response"
"462","Varicella","2 Doses (or disease history)","States","Colorado","2016-17","86.1","64440","100","*","NULL","Census"
"463","Varicella","2 Doses (or disease history)","States","Wyoming","2016-17",NA,"NULL","NULL","NULL","NULL","Not conducted"
"464","Varicella","2 Doses (or disease history)","States","North Dakota","2017-18","93.9","10365","99.4","NULL","NULL","Census"
"465","Varicella","2 Doses (or disease history)","States","Indiana","2014-15","90.1","85477","70.1","NULL","NULL","Voluntary response"
"466","Varicella","2 Doses (or disease history)","States","Virginia","2014-15","90.4","103821","4.1","NULL","NULL","Stratified 2-stage cluster sample"
"467","Varicella","2 Doses (or disease history)","States","Vermont","2014-15","90.5","6277","100","*","NULL","Census"
"468","Varicella","2 Doses (or disease history)","States","Wisconsin","2014-15","90.9","69335","2.5","‡","NULL","Stratified 2-stage cluster sample"
"469","Varicella","2 Doses (or disease history)","States","Ohio","2014-15","91.2","149080","91","NULL","NULL","Census (public); Voluntary response (private)"
"470","Varicella","2 Doses (or disease history)","States","New Hampshire","2014-15","91.4","12422","98.9","≥","NULL","Census (public); Voluntary response (private)"
"471","Varicella","2 Doses (or disease history)","States","Ohio","2017-18","91.5","138753","94.9","NULL","NULL","Census"
"472","Varicella","2 Doses (or disease history)","States","Arkansas","2017-18","91.6","39630","95.4","‡","NULL","Census"
"473","Varicella","2 Doses (or disease history)","States","Montana","2017-18","91.6","12188","100","*","NULL","Census"
"474","Varicella","2 Doses (or disease history)","States","Kentucky","2017-18","91.7","55152","99","‡.§","NULL","Census"
"475","Varicella","2 Doses (or disease history)","States","Minnesota","2017-18","92.2","69807","98.1","§","NULL","Census"
"476","Varicella","2 Doses (or disease history)","States","New Hampshire","2017-18","92.4","12165","100","≥","NULL","Census"
"477","Varicella","2 Doses (or disease history)","States","Nevada","2017-18","92.6","37178","4.8","NULL","NULL","Stratified 2-stage cluster sample"
"478","Varicella","2 Doses (or disease history)","States","Iowa","2017-18","93","39632","100","≥.*","NULL","Census"
"479","Varicella","2 Doses (or disease history)","States","Vermont","2017-18","93.2","6255","100","*","NULL","Census"
"480","Varicella","2 Doses (or disease history)","States","Virginia","2017-18","93.3","100581","4.4","†","NULL","Stratified 2-stage cluster sample"
"481","Varicella","2 Doses (or disease history)","States","Georgia","2017-18","93.4","131459","100","≥.*","NULL","Census"
"482","Varicella","2 Doses (or disease history)","States","Utah","2017-18","93.7","48827","100","*","NULL","Census"
"483","Varicella","2 Doses (or disease history)","States","Florida","2017-18","93.7","222397","100","≥.*.§","NULL","Census"
"484","Varicella","2 Doses (or disease history)","States","Mississippi","2018-19","99.2","37775","100","≥.*","NULL","Census"
"485","Varicella","2 Doses (or disease history)","States","West Virginia","2018-19","98.5","19442","79.3","¶","NULL","Voluntary response"
"486","Varicella","2 Doses (or disease history)","States","Arkansas","2018-19","93.8","39257","95.4","‡","NULL","Census (public). voluntary response (private)"
"487","Varicella","2 Doses (or disease history)","States","North Dakota","2018-19","93.8","10382","99.4","NULL","NULL","Census"
"488","Varicella","2 Doses (or disease history)","States","Virginia","2018-19","93.6","100394","4.4","†","NULL","Stratified 2-stage cluster sample"
"489","Varicella","2 Doses (or disease history)","States","Georgia","2018-19","93.6","131275","100","≥.*","NULL","Census"
"490","Varicella","2 Doses (or disease history)","States","South Carolina","2018-19","93.5","58442","27","NULL","NULL","Stratified 1-stage cluster sample"
"491","Varicella","2 Doses (or disease history)","States","Indiana","2018-19","93.5","82324","96.4","NULL","NULL","Census"
"492","Varicella","2 Doses (or disease history)","States","Iowa","2018-19","93.3","40624","100","≥.*","NULL","Census"
"493","Varicella","2 Doses (or disease history)","States","Tennessee","2018-19","96.2","78630","100","*.§","NULL","Census"
"494","Varicella","2 Doses (or disease history)","States","Pennsylvania","2018-19","95.8","143560","93.3","NULL","NULL","Census (public). voluntary response (private)"
"495","Varicella","2 Doses (or disease history)","States","New Mexico","2018-19","95.7","25269","99.6","NULL","NULL","Census"
"496","Varicella","2 Doses (or disease history)","States","New Hampshire","2015-16","91.9","11852","99.8","≥","NULL","Census"
"497","Varicella","2 Doses (or disease history)","States","Minnesota","2015-16","92.3","69710","97.8","§","NULL","Census"
"498","Varicella","2 Doses (or disease history)","States","Wisconsin","2015-16","92.5","70220","2","‡.§","NULL","Stratified 2-stage cluster sample"
"499","Varicella","2 Doses (or disease history)","States","Alaska","2015-16","92.6","9937","7.8","†.§","NULL","Stratified 2-stage cluster sample"
"500","Varicella","2 Doses (or disease history)","States","Nevada","2015-16","93.4","37118","3.3","NULL","NULL","Stratified 2-stage cluster sample"
"501","Varicella","2 Doses (or disease history)","States","Tennessee","2015-16","93.5","79233","100","*.§","NULL","Census"
"502","Varicella","2 Doses (or disease history)","States","Montana","2015-16","93.6","11484","100","*","NULL","Census"
"503","Varicella","2 Doses (or disease history)","States","Florida","2015-16","93.7","224430","100","≥.*.§","NULL","Census"
"504","Varicella","2 Doses (or disease history)","States","Virginia","2015-16","93.7","100074","4.3","†.§","NULL","Stratified 2-stage cluster sample"
"505","Varicella","2 Doses (or disease history)","States","West Virginia","2015-16","94.3","21333","87.6","NULL","NULL","Voluntary response"
"506","Varicella","2 Doses (or disease history)","States","Mississippi","2016-17","99.4","40509","100","≥.*","NULL","Census"
"507","Varicella","2 Doses (or disease history)","States","Delaware","2016-17","98.2","11490","9.3","NULL","NULL","Stratified 2-stage cluster sample"
"508","Varicella","2 Doses (or disease history)","States","Maryland","2016-17","97.6","71467","98.1","‡","NULL","Census"
"509","Varicella","2 Doses (or disease history)","States","New York","2016-17","96.9","227050","100","*","NULL","Census"
"510","Varicella","2 Doses (or disease history)","States","Tennessee","2016-17","96.7","78169","100","*.§","NULL","Census"
"511","Varicella","2 Doses (or disease history)","States","Texas","2016-17","96.6","389999","99","‡.§","NULL","Census"
"512","Varicella","2 Doses (or disease history)","States","Louisiana","2016-17","96.5","55257","100","*","NULL","Census"
"513","Varicella","2 Doses (or disease history)","States","South Dakota","2019-20","95.2","12367","99.8","NULL","NULL","Census"
"514","Varicella","2 Doses (or disease history)","States","North Carolina","2019-20","95.3","124548","97.8","‡.§","NULL","Census"
"515","Varicella","2 Doses (or disease history)","States","Nebraska","2019-20","95.6","26893","96.7","‡.‡‡","NULL","Census"
"516","Varicella","2 Doses (or disease history)","States","Connecticut","2019-20","95.9","38888","100","*","NULL","Census"
"517","Varicella","2 Doses (or disease history)","States","California","2019-20","96.1","566155","97.9","‡","NULL","Census"
"518","Varicella","2 Doses (or disease history)","States","Pennsylvania","2019-20","96.3","140197","98.8","NULL","NULL","Census"
"519","Varicella","2 Doses (or disease history)","States","Texas","2019-20","96.4","398680","99.6","‡.§","NULL","Census"
"520","Varicella","2 Doses (or disease history)","States","Illinois","2019-20","96.4","145891","100","*","NULL","Census"
"521","Varicella","2 Doses (or disease history)","States","Tennessee","2019-20","96.5","80595","100","*.§","NULL","Census"
"522","Varicella","2 Doses (or disease history)","States","New Mexico","2019-20","96.7","23087","100","*","NULL","Census"
"523","Varicella","2 Doses (or disease history)","States","Rhode Island","2019-20","97","11219","98.5","*.‡.§","NULL","Census"
"524","Varicella","2 Doses (or disease history)","States","Massachusetts","2019-20","97","66756","100","*.‡","NULL","Census"
"525","Varicella","2 Doses (or disease history)","States","Maryland","2019-20","97.5","72443","98.3","‡","NULL","Census (public). voluntary response (private)"
"526","Varicella","2 Doses (or disease history)","States","West Virginia","2019-20","97.8","17114","49.6","¶","NULL","Voluntary response"
"527","Varicella","2 Doses (or disease history)","States","Utah","2019-20","92.4","49208","100","*","NULL","Census"
"528","Varicella","2 Doses (or disease history)","States","Kentucky","2019-20","92.5","59233","92.9","‡.§","NULL","Census"
"529","Varicella","2 Doses (or disease history)","States","Washington","2019-20","92.7","87757","91.9","§","NULL","Census"
"530","Varicella","2 Doses (or disease history)","States","Georgia","2019-20","93.1","130102","100","≥.*","NULL","Census"
"531","Varicella","2 Doses (or disease history)","States","Montana","2019-20","93.2","12501","100","*","NULL","Census"
"532","Varicella","2 Doses (or disease history)","States","Iowa","2019-20","93.2","40812","100","≥.*","NULL","Census"
"533","Varicella","2 Doses (or disease history)","States","Virginia","2019-20","93.3","99399","1.2","†","NULL","Stratified 2-stage cluster sample"
"534","Varicella","2 Doses (or disease history)","States","Florida","2019-20","93.5","228298","100","≥.*.§","NULL","Census"
"535","Varicella","2 Doses (or disease history)","States","Massachusetts","2017-18","96","63377","100","*.‡","NULL","Census"
"536","Varicella","2 Doses (or disease history)","States","Rhode Island","2017-18","96","11025","100","*.‡.§","NULL","Census"
"537","Varicella","2 Doses (or disease history)","States","South Carolina","2017-18","96.1","58458","27","NULL","NULL","Stratified 1-stage cluster sample"
"538","Varicella","2 Doses (or disease history)","States","Connecticut","2017-18","96.3","39174","100","*","NULL","Census"
"539","Varicella","2 Doses (or disease history)","States","Texas","2017-18","96.4","387981","99.4","‡.§","NULL","Census"
"540","Varicella","2 Doses (or disease history)","States","Delaware","2017-18","96.7","10988","9.5","NULL","NULL","Stratified 2-stage cluster sample"
"541","Varicella","2 Doses (or disease history)","States","Tennessee","2017-18","96.8","78743","100","*.§","NULL","Census"
"542","Varicella","2 Doses (or disease history)","States","North Carolina","2017-18","96.8","127197","90.9","‡.§","NULL","Census"
"543","Varicella","2 Doses (or disease history)","States","New York","2017-18","96.9","226456","100","*","NULL","Census"
"544","Varicella","2 Doses (or disease history)","States","Pennsylvania","2017-18","97","141571","93.3","NULL","NULL","Voluntary response"
"545","Varicella","2 Doses (or disease history)","States","Maryland","2017-18","97.5","68528","98.5","‡","NULL","Census"
"546","Varicella","2 Doses (or disease history)","States","West Virginia","2017-18","98.1","19519","79.3","¶","NULL","Voluntary response"
"547","Varicella","2 Doses (or disease history)","States","Mississippi","2017-18","99.4","39284","100","≥.*","NULL","Census"
"548","Varicella","2 Doses (or disease history)","States","Wyoming","2017-18",NA,"NULL","NULL","NULL","NULL","Not conducted"
"549","Varicella","2 Doses (or disease history)","States","Colorado","2017-18","87.7","65718","100","*","NULL","Census"
"550","Varicella","2 Doses (or disease history)","States","Kansas","2017-18","88.3","38484","23.1","†.‡.§","NULL","Stratified 2-stage cluster sample"
"551","Varicella","2 Doses (or disease history)","States","Idaho","2017-18","88.6","22553","99","NULL","NULL","Census"
"552","Varicella","2 Doses (or disease history)","States","Washington","2017-18","89.4","85118","96.9","§","NULL","Census"
"553","Varicella","2 Doses (or disease history)","States","Indiana","2017-18","90.2","84296","96.4","NULL","NULL","Voluntary Response"
"554","Varicella","2 Doses (or disease history)","States","Wisconsin","2017-18","91.2","66178","2.3","†.‡.§","NULL","Stratified 2-stage cluster sample"
"555","Varicella","2 Doses (or disease history)","States","Alaska","2017-18","91.3","9692","84.4","†.§","NULL","Stratified 2-stage cluster sample"
"556","Varicella","2 Doses (or disease history)","States","South Dakota","2020-21","94","11512","99.9","NULL","NULL","Census"
"557","Varicella","2 Doses (or disease history)","States","Virginia","2020-21","94.1","88273","2","†","NULL","Stratified 2-stage cluster sample"
"558","Varicella","2 Doses (or disease history)","States","South Carolina","2020-21","94.2","56330","26.5","†","NULL","Stratified 1-stage cluster sample"
"559","Varicella","2 Doses (or disease history)","States","Connecticut","2018-19","95.7","38230","100","*","NULL","Census"
"560","Varicella","2 Doses (or disease history)","States","South Dakota","2018-19","95.5","12062","99.9","NULL","NULL","Census"
"561","Varicella","2 Doses (or disease history)","States","Louisiana","2018-19","95.4","56203","100","*","NULL","Census"
"562","Varicella","2 Doses (or disease history)","States","Nevada","2018-19","94.7","37971","4.8","NULL","NULL","Stratified 2-stage cluster sample"
"563","Varicella","2 Doses (or disease history)","States","Wyoming","2018-19","94.7","7734","100","*","NULL","Census"
"564","Varicella","2 Doses (or disease history)","States","Missouri","2018-19","94.5","72687","100","*","NULL","Census"
"565","Varicella","2 Doses (or disease history)","States","Illinois","2018-19","94.4","143876","100","*","NULL","Census"
"566","Varicella","2 Doses (or disease history)","States","Michigan","2018-19","94.3","118632","100","*","NULL","Census"
"567","Varicella","2 Doses (or disease history)","States","Florida","2018-19","93.8","224641","100","≥.*.§","NULL","Census"
"568","DTP, DTaP, or DT","","States","Rhode Island","2014-15","96.1","11163","98.9","‡","NULL","Census"
"569","DTP, DTaP, or DT","","States","Missouri","2014-15","96","75900","100","*","NULL","Census"
"570","DTP, DTaP, or DT","","States","Maine","2014-15","95.4","13704","88.9","‡","NULL","Voluntary response (public); Census (private)"
"571","DTP, DTaP, or DT","","States","Tennessee","2014-15","95.1","78276","100","≥. *","NULL","Census"
"572","DTP, DTaP, or DT","","States","Michigan","2014-15","95.1","117963","100","*","NULL","Census"
"573","DTP, DTaP, or DT","","States","Illinois","2014-15","94.9","156942","100","*","NULL","Census"
"574","DTP, DTaP, or DT","","States","Montana","2014-15","94.6","12501","95.7","NULL","NULL","Census (public); Voluntary response (private)"
"575","DTP, DTaP, or DT","","States","Kentucky","2014-15","94.4","57884","97.2","‡","NULL","Census"
"576","DTP, DTaP, or DT","","States","Arizona","2014-15","94.3","86153","98.3","NULL","NULL","Census"
"577","Varicella","2 Doses (or disease history)","States","North Carolina","2018-19","93.1","124343","90.9","‡.§","NULL","Census (public). voluntary response (private)"
"578","Varicella","2 Doses (or disease history)","States","Montana","2018-19","92.9","12480","100","*","NULL","Census"
"579","Varicella","2 Doses (or disease history)","States","Kentucky","2018-19","92.8","55587","99","‡.§","NULL","Census"
"580","Varicella","2 Doses (or disease history)","States","Utah","2018-19","92.5","50179","100","*","NULL","Census"
"581","Varicella","2 Doses (or disease history)","States","Vermont","2018-19","92.3","6126","100","*","NULL","Census"
"582","Varicella","2 Doses (or disease history)","States","Minnesota","2018-19","92","70085","98.1","§","NULL","Census"
"583","Varicella","2 Doses (or disease history)","States","New Hampshire","2018-19","91.8","12421","100","≥","NULL","Census"
"584","Varicella","2 Doses (or disease history)","States","Wisconsin","2018-19","91.6","66344","2.3","†.‡.§","NULL","Stratified 2-stage cluster sample"
"585","Varicella","2 Doses (or disease history)","States","Ohio","2018-19","91.2","139679","94.9","NULL","NULL","Census (public). voluntary response (private)"
"586","Varicella","2 Doses (or disease history)","States","Washington","2018-19","89.7","87510","96.9","§","NULL","Census"
"587","Varicella","2 Doses (or disease history)","States","Kansas","2018-19","89.2","37838","23.1","†.‡.§","NULL","Stratified 2-stage cluster sample"
"588","Varicella","2 Doses (or disease history)","States","Idaho","2018-19","88.3","22995","99","NULL","NULL","Census"
"589","Varicella","2 Doses (or disease history)","States","Colorado","2018-19","86.5","64191","100","*","NULL","Census"
"590","Varicella","2 Doses (or disease history)","States","Arkansas","2019-20","93.9","39510","96.2","‡","NULL","Census (public). voluntary response (private)"
"591","Varicella","2 Doses (or disease history)","States","Indiana","2019-20","94","88253","65.7","NULL","NULL","Voluntary response"
"592","Varicella","2 Doses (or disease history)","States","Missouri","2019-20","94.2","72324","100","*","NULL","Census"
"593","Varicella","2 Doses (or disease history)","States","Michigan","2019-20","94.4","120565","100","*","NULL","Census"
"594","Varicella","2 Doses (or disease history)","States","South Carolina","2019-20","94.5","65938","27.5","†","NULL","Stratified 1-stage cluster sample"
"595","Varicella","2 Doses (or disease history)","States","Nevada","2019-20","94.6","37724","99.9","NULL","NULL","Census"
"596","Varicella","2 Doses (or disease history)","States","North Dakota","2019-20","94.8","10587","99.5","NULL","NULL","Census"
"597","Varicella","2 Doses (or disease history)","States","Louisiana","2019-20","95","59685","100","*","NULL","Census"
"598","Varicella","2 Doses (or disease history)","States","Delaware","2019-20",NA,"NULL","NULL","NULL","NULL","Not Conducted"
"599","Varicella","2 Doses (or disease history)","States","Oregon","2019-20","NReq","45959","100","*.‡","NULL","Census"
"600","Varicella","2 Doses (or disease history)","States","Hawaii","2019-20","70.2","15695","8.9","NULL","NULL","Stratified 2-stage cluster sample"
"601","Varicella","2 Doses (or disease history)","States","Wyoming","2019-20","85.6","7913","100","*","NULL","Census"
"602","Varicella","2 Doses (or disease history)","States","Idaho","2019-20","88.5","23301","98.5","NULL","NULL","Census"
"603","Varicella","2 Doses (or disease history)","States","Kansas","2019-20","89.1","37865","34.3","†.‡.§","NULL","Stratified 2-stage cluster sample"
"604","Varicella","2 Doses (or disease history)","States","Colorado","2019-20","90.1","69088","98.2","NULL","NULL","Census"
"605","Varicella","2 Doses (or disease history)","States","New Hampshire","2019-20","91.5","12447","100","≥.*","NULL","Census"
"606","Varicella","2 Doses (or disease history)","States","Wisconsin","2019-20","91.6","67391","2.6","†.‡.§","NULL","Stratified 2-stage cluster sample"
"607","Varicella","2 Doses (or disease history)","States","Ohio","2019-20","91.9","139103","98.8","NULL","NULL","Census"
"608","Varicella","2 Doses (or disease history)","States","Minnesota","2019-20","92","71223","98.7","§","NULL","Census"
"609","DTP, DTaP, or DT","","States","Vermont","2014-15","93.2","6277","100","*","NULL","Census"
"610","DTP, DTaP, or DT","","States","Nevada","2014-15","93.2","36755","2.8","NULL","NULL","Stratified 2-stage cluster sample"
"611","DTP, DTaP, or DT","","States","Florida","2014-15","93.3","228982","100","≥. *. §","NULL","Census"
"612","DTP, DTaP, or DT","","States","Alabama","2014-15","93.5","59660","100","≥. *","NULL","Census"
"613","DTP, DTaP, or DT","","States","Minnesota","2014-15","93.7","70896","97.8","NULL","NULL","Census"
"614","DTP, DTaP, or DT","","States","Utah","2014-15","93.8","50916","100","*","NULL","Census"
"615","DTP, DTaP, or DT","","States","Oregon","2014-15","93.8","46229","100","*.‡","NULL","Census"
"616","DTP, DTaP, or DT","","States","Georgia","2014-15","94","139471","100","≥. *","NULL","Census"
"617","DTP, DTaP, or DT","","States","Pennsylvania","2014-15","NReq","146378","98.3","||. ‡","NULL","Census"
"618","Varicella","2 Doses (or disease history)","States","Vermont","2019-20","93.9","6293","100","*","NULL","Census"
"619","Varicella","2 Doses (or disease history)","States","Tennessee","2020-21","96.4","73819","100","*.§","NULL","Census"
"620","Varicella","2 Doses (or disease history)","States","Nevada","2020-21","95.8","34171","94.7","NULL","NULL","Census (public). voluntary response (private)"
"621","Varicella","2 Doses (or disease history)","States","Massachusetts","2020-21","95.4","60724","100","*.‡","NULL","Census"
